title,ingredients,directions,link,source,NER
Salmon Party Ball,"[""8 oz. cream cheese"", ""1 lb. can salmon, flaked, remove bone and dark meat"", ""1 Tbsp. lemon juice"", ""2 tsp. horseradish"", ""1/2 tsp. liquid smoke"", ""1 Tbsp. minced onion"", ""1/4 tsp. salt"", ""chopped nuts"", ""parsley flakes""]","[""Combine cheese, juice, onion and seasoning."", ""Then add salmon. Chill 2 hours."", ""Shape mixture into ball."", ""Roll in nuts and parsley."", ""Serve with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=336270,Gathered,"['cream cheese', 'salmon', 'lemon juice', 'horseradish', 'liquid smoke', 'onion', 'salt', 'nuts', 'parsley flakes']"
Blonde Brownies,"[""1 stick butter"", ""1 pkg. light brown sugar"", ""3 eggs"", ""2 c. self-rising flour"", ""nuts (as desired)"", ""1 tsp. vanilla flavoring""]","[""Mix; bake at 325\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=1084284,Gathered,"['butter', 'light brown sugar', 'eggs', 'flour', 'nuts', 'vanilla flavoring']"
Heavenly Onion Casserole,"[""1 large sweet onion, sliced"", ""1 (10 oz.) can cream of chicken soup"", ""3/4 c. milk"", ""3 slices firm white bread, crumbled"", ""2 c. shredded Cheddar cheese"", ""1/2 c. butter or margarine"", ""1/8 tsp. pepper""]","[""Preheat oven to 350\u00b0."", ""Saute onion in butter in skillet until tender."", ""Do not brown."", ""Mix soup, milk and pepper in bowl."", ""Stir in bread, 1 1/2 cups cheese and sauteed onions."", ""Mix well."", ""Pour into casserole."", ""Chill for several hours, if desired."", ""Sprinkle with remaining 1/2 cup cheese."", ""Bake for 30 minutes or until bubbly and golden.""]",www.cookbooks.com/Recipe-Details.aspx?id=465383,Gathered,"['sweet onion', 'cream of chicken soup', 'milk', 'white bread', 'Cheddar cheese', 'butter', 'pepper']"
Night Before Coffee Cake,"[""2/3 c. butter"", ""1 c. granulated sugar"", ""1/2 c. brown sugar"", ""2 eggs, beaten"", ""2 c. flour, sifted"", ""1 tsp. soda"", ""1 tsp. baking powder"", ""2 tsp. powdered milk"", ""1/2 tsp. salt"", ""1 c. buttermilk"", ""1/2 c. brown sugar"", ""1/2 c. chopped pecans"", ""1/2 tsp. cinnamon"", ""1/2 tsp. nutmeg""]","[""Mix together."", ""Put on top of coffee cake batter."", ""Refrigerate 20 minutes before putting into oven preheated to 350\u00b0."", ""Bake 30 to 40 minutes."", ""Freezes well."", ""If frozen, remove from freezer the night before.""]",www.cookbooks.com/Recipe-Details.aspx?id=798813,Gathered,"['butter', 'sugar', 'brown sugar', 'eggs', 'flour', 'soda', 'baking powder', 'powdered milk', 'salt', 'buttermilk', 'brown sugar', 'pecans', 'cinnamon', 'nutmeg']"
Maple-Bacon Oven Pancake,"[""1 1/2 c. Bisquick"", ""1 Tbsp. sugar"", ""1 1/2 c. shredded cheese"", ""3/4 c. milk"", ""1/4 c. syrup"", ""2 eggs""]","[""Heat oven to 425\u00b0."", ""Grease and flour 9 x 13-inch pan."", ""Beat all ingredients except bacon and 1 cup cheese with hand beater. Pour into pan."", ""Bake, uncovered, for 10 to 15 minutes."", ""Sprinkle pancake with bacon and cheese."", ""Bake until the cheese is melted (3 to 4 minutes)."", ""Serves 8 to 10.""]",www.cookbooks.com/Recipe-Details.aspx?id=1050436,Gathered,"['Bisquick', 'sugar', 'shredded cheese', 'milk', 'syrup', 'eggs']"
Barbecue Noodle Cheese Bake,"[""1 can Manwich"", ""1 lb. hamburg"", ""American cheese slices"", ""noodles, cooked and drained""]","[""Cook hamburg and crumble."", ""Add Manwich."", ""Spray Pam in baking dish."", ""Layer 1/2 of noodles, then 1/2 hamburg mixture on noodles. Put enough cheese slices on to cover meat."", ""Layer all again."", ""Bake for 1/2 hour at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=853931,Gathered,"['Manwich', 'hamburg', 'American cheese', 'noodles']"
Sweet Potato Or Pumpkin Cake,"[""5 eggs"", ""1 3/4 c. brown sugar"", ""3/4 c. butter"", ""1 tsp. vanilla"", ""2 baked sweet potatoes or can pumpkin"", ""3 c. unbleached flour"", ""1 1/2 tsp. baking powder"", ""1 tsp. soda"", ""1 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1 1/2 tsp. ginger"", ""1 c. raisins"", ""1 can crushed pineapple with juice"", ""1 c. pecans""]","[""Beat with spoon."", ""Sift dry ingredients."", ""Bake in Bundt pan 1 hour and 5 minutes at 325\u00b0 for pumpkin; 1 1/2 hours with potatoes or until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=500113,Gathered,"['eggs', 'brown sugar', 'butter', 'vanilla', 'sweet potatoes', 'flour', 'baking powder', 'soda', 'cinnamon', 'nutmeg', 'ginger', 'raisins', 'pineapple', 'pecans']"
Brownies,"[""1/2 c. margarine"", ""1 c. sugar"", ""1 tsp. vanilla"", ""1/2 c. nuts"", ""2 eggs"", ""1/3 c. cocoa"", ""1/2 c. self-rising flour""]","[""Cream margarine, sugar and vanilla."", ""Beat in eggs."", ""Blend in cocoa, then stir in flour and nuts."", ""Pour into a small pan and cook at 325\u00b0 for 30 to 35 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=904899,Gathered,"['margarine', 'sugar', 'vanilla', 'nuts', 'eggs', 'cocoa', 'flour']"
Sun-Drop Pound Cake,"[""5 eggs"", ""3 c. sugar"", ""2 sticks butter"", ""1 tsp. lemon extract"", ""1/4 c. shortening"", ""3 c. plain flour"", ""1 tsp. vanilla extract"", ""6 oz. Sun-Drop""]","[""Cream sugar, butter and shortening."", ""Add flour and eggs."", ""Beat until blended."", ""Add extracts and Sun-Drop last."", ""Bake at 325\u00b0 for 1 hour and 15 minutes."", ""Use loaf pan or Bundt pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=517720,Gathered,"['eggs', 'sugar', 'butter', 'lemon extract', 'shortening', 'flour', 'vanilla extract']"
3 Cheese Chicken Bake,"[""8 oz. lasagna noodles"", ""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""3 Tbsp. margarine"", ""1 can cream of chicken soup"", ""1 (6 oz.) can mushrooms, drained"", ""1/2 tsp. basil"", ""1/2 c. chopped pimento, drained"", ""1/3 c. milk"", ""1/2 c. cottage cheese"", ""2 (or more) c. diced, cooked chicken"", ""2 c. shredded cheese (your choice)"", ""1/2 c. Parmesan cheese""]","[""Cook and drain noodles."", ""Cook onions and peppers in margarine until tender."", ""Stir in soup, mushrooms, pimento, milk and basil. Layer half of noodles in a 9 x 13-inch pan."", ""Top with 1/2 of sauce, 1/2 of cottage cheese, 1/2 of chicken and half of both cheeses. Repeat layers."", ""Bake at 350\u00b0 for 45 minutes."", ""If casserole comes from \""fridge\"" add 15 minutes to baking time.""]",www.cookbooks.com/Recipe-Details.aspx?id=936216,Gathered,"['lasagna noodles', 'onion', 'green pepper', 'margarine', 'cream of chicken soup', 'mushrooms', 'basil', 'pimento', 'milk', 'cottage cheese', 'chicken', 'shredded cheese', 'Parmesan cheese']"
